"uniqueid","p1","p2","p3","p4","p5"
20053998,0.175997241062191,0.271985285665019,0.0396597310035636,0.404644211978388,0.107713530290838
20053994,0.404644211978388,0.107713530290838,0.175997241062191,0.271985285665019,0.0396597310035636
20053979,0.271985285665019,0.0396597310035636,0.404644211978388,0.107713530290838,0.175997241062191
20053976,0.107713530290838,0.175997241062191,0.271985285665019,0.0396597310035636,0.404644211978388
20053964,0.0396597310035636,0.404644211978388,0.107713530290838,0.175997241062191,0.271985285665019
20053947,0.175997241062191,0.271985285665019,0.0396597310035636,0.404644211978388,0.107713530290838
20053935,0.404644211978388,0.107713530290838,0.175997241062191,0.271985285665019,0.0396597310035636
20053922,0.271985285665019,0.0396597310035636,0.404644211978388,0.107713530290838,0.175997241062191
20053918,0.107713530290838,0.175997241062191,0.271985285665019,0.0396597310035636,0.404644211978388
20053917,0.0396597310035636,0.404644211978388,0.107713530290838,0.175997241062191,0.271985285665019
20053911,0.175997241062191,0.271985285665019,0.0396597310035636,0.404644211978388,0.107713530290838
20053902,0.404644211978388,0.107713530290838,0.175997241062191,0.271985285665019,0.0396597310035636
20053900,0.271985285665019,0.0396597310035636,0.404644211978388,0.107713530290838,0.175997241062191
20053898,0.107713530290838,0.175997241062191,0.271985285665019,0.0396597310035636,0.404644211978388
20053888,0.0396597310035636,0.404644211978388,0.107713530290838,0.175997241062191,0.271985285665019
20053887,0.175997241062191,0.271985285665019,0.0396597310035636,0.404644211978388,0.107713530290838
20053856,0.404644211978388,0.107713530290838,0.175997241062191,0.271985285665019,0.0396597310035636
20053855,0.271985285665019,0.0396597310035636,0.404644211978388,0.107713530290838,0.175997241062191
20053849,0.107713530290838,0.175997241062191,0.271985285665019,0.0396597310035636,0.404644211978388
20053847,0.0396597310035636,0.404644211978388,0.107713530290838,0.175997241062191,0.271985285665019
20053846,0.175997241062191,0.271985285665019,0.0396597310035636,0.404644211978388,0.107713530290838
20053844,0.404644211978388,0.107713530290838,0.175997241062191,0.271985285665019,0.0396597310035636
20053841,0.271985285665019,0.0396597310035636,0.404644211978388,0.107713530290838,0.175997241062191
20053836,0.107713530290838,0.175997241062191,0.271985285665019,0.0396597310035636,0.404644211978388
20053834,0.0396597310035636,0.404644211978388,0.107713530290838,0.175997241062191,0.271985285665019
